Sr No,Insurance Company,Base Plan Name,Infinite Care,No Sub-limits,Consumables Cover,Inflation Protector,No Claim Bonus,Restoration Benefit,In-patient Hospitalization,Pre-Hospitalization,Post-Hospitalization,Room Rent,ICU Charges,Day Care Treatment,No Claim Bonus,Restoration of Sum Insured,Pre-Existing Waiting Period,Domiciliary Treatment,AYUSH Treatment,Ambulance Cover,Donor Expenses,Health Check-Up,Air Ambulance,Second E-opinion,Claim Protector,Modern Treatments,Surplus/Secure Benefit,Bariatric Surgery,Specific Illness Waiting Period,Automatic Restoration
11,Bajaj Allianz,Health Guard- Platinum Plan,Not Applicable,Yes (No limit >10L SI),Not Inbuilt,Available (Shield Option),Guaranteed 50% year 1 bonus,100% Restoration (with Recharge),Covered up to Sum Insured,60 Days,90 Days,Single Standard A/C room (<10L) / Any Room (>10L),Actual charges ICU,Included all procédures,50% max up to 150% SI,100% Reload trig usage,36 Months,Wait period 3 days,Covered up to SI limit,Actual Road ambulance (20000 trip),Covered up to Sum Insured,Annual up to 5k Adults,Domestic up to 10L range,Global Expert Medical Advice,Inbuilt protector Shield,Included Robotic/Advanced Med,Double Cover Road Accid.,Included up to Sum Insured,24 Months,Included
11,Bajaj Allianz,Health Guard- Silver Plan,Not Applicable,No (Capped 1% SI),Not Inbuilt,Available (Standard Option),10% p.a. (Max 100%),Reinstatement Benefit (100%),Covered up to Sum Insured,60 Days,90 Days,Capped 1% Sum Insured p.d.,Actual ICU charges covered,Included day care treatments,10% per year max 100%,Usage Trigger reload,36 Months,Wait period 3 days home,Covered up to Sum Insured,Road up to 20000 trip hosp,Not Included within SI,Every block 3 policy years,Not available globally,Major illness opinion included,No road,Modern med included SI,Convalescence 5k,No Coverage bariatric,24 Months,Included
12,Liberty General Insurance,Secure Health Connect- Basic,Not Applicable,No (Capped 1% SI),Not Inbuilt,Available (Reload options),10% p.a. (max 50%),Reload 100% logic,Covered up to Sum Insured,30 Days,45 Days,1% SI p.d. max 3000,6000 max limit ICU p.d.,All day care list covered,10% increase (max 50%),Reload (Usage exhaustion),48 Months,Wait period 3 days home,Included within SI limit,1000 road ambulance,Included up to SI limit,Every block of 2 yrs,Not Covered globally,Inbuilt Expert Advice,Optional Protector Addon,Modern treatment SI limit,Stay Fit Discount logic,Available logic up to 50k,24 Months,Yes
12,Liberty General Insurance,Secure Elite,Not Applicable,No (Capped 1% SI),Not Inbuilt,Available (Reload options),10-50% Bonus Logic p.a.,Reload 100% Option,Covered up to Sum Insured,30 Days,45 Days,1% SI p.d. max 5000,6000 max ICU p.d.,All day care list covered,Accumulate bonus yearly,Reload Add-on Option,48 Months,Not Included home,Covered within SI (AYUSH),2000 road hospital trip,Included up to SI limit,Every block of 2 yrs,Available Domestic up to 5L,Expert Medical Advice global,Optional Protector Rider,Modern treatment included SI,Stay fit perks SI > 5L,Included logic,24 Months,Yes
12,Liberty General Insurance,Secure Supreme,Not Applicable,No (Capped 1% SI),Not Inbuilt,Available (Inbuilt logic),10% Increase (max 50%),100% Sum Insured Reload,Covered up to Sum Insured,45 Days,60 Days,1% SI p.d. max 5000,7500 max limit ICU p.d.,Included all procedures list,10% accumulation p.a.,Inbuilt usage exhaustion trigger,48 Months,Not Included,Covered within SI (AYUSH limit),3000 Road ambulance per hosp,Included up to Sum Insured,Every block of 2 yrs,Domestic Air ambulance logic,Included expert consult,Optional Protector Rider,Included Robotic surgery,Additional SI logic bonus,Available logic up to 2.5L,24 Months,Unlimited
12,Liberty General Insurance,Secure Complete,Not Applicable,No (Capped),Not Inbuilt,Available (Inbuilt),25% yearly max 100%,Usage exhaust reload logic,Covered up to Sum Insured,30 Days,45 Days,Sublimit based on room,Sublimit p.d. ICU capping,Included procedures (all list),Included 25% Increase p.a.,Usage trigger reload logic,48 Months,Not Applicable logic,Covered within SI limit,Actual Road Ambulance costs,Included up to Sum Insured,Annual check-up Adults,Not Available logic,Global Opinion inbuilt,Inbuilt Protector add-on,Robotic med up to SI,Included logical SI range,Available logic limit,24 Months,Included
13,SBI General Insurance,Super Health- Elite,Not Applicable,No (Single Room),Included (Shield Benefit),Available (multiplier logic),50% increase (max 100%),Unlimited Reinstatement (RI),Covered up to Sum Insured,60 Days,90 Days,Single private Room,No Limit ICU Capping,All day care treatments included,50% per claim free yr (100% total),Unlimited Reload triggers,24 Months,Included cert medical logic,AYUSH Covered up to SI limit,3000 road hosp trip,Covered up to Sum Insured,Annual adults from inception,Not Covered logic,expert opinion major illness,Inbuilt claims Shield logic,Robotic/Modern treatments SI,multiplier (up to 3x SI),Included available SI,24 Months,Included
13,SBI General Insurance,Premier Plan,Not Applicable,No (Standard Single Room),Included (Shield Benefit),Available (Multiplier logic),50% p.a. (Max 100%),Unlimited RI Usage exhaustion,Covered up to Sum Insured,60 Days,90 Days,Standard private AC room,Actuals Covered (ICU),Included within SI limit,50% accumulation max 100%,Unlimited RI Usage trig,24 Months,Included with condition,Covered up to Sum Insured,4000 Road Trip maximum,Included up to SI limit,Annual up to 2500 checkup,Up to SI Domestic Range,Inbuilt Consults logic,Included protector Rider,Robotic surgery included,Included recovering benefit,Bariatric limit logic,24 Months,Included
13,SBI General Insurance,Platinum Plan,Not Applicable,Yes (Any Room category),Included (Shield Benefit),Available (Shield/Multiplier),50% p.a. (Max 200%),Unlimited Reload usage trig,Covered up to Sum Insured,60 Days,90 Days,Any Room category covered,Actuals covered ICU Charges,Included all procedures,50% yearly (max 200% SI),Usage trig unlimited Reload,24 Months,Home treatment logic covered,Included up to Sum Insured,5000 Road Hospitalization trip,Included up to Sum Insured,5000 check-up Adults range,Available domestic up to 2L,Expert consultations global,Inbuilt Protector logic Shield,Robotic surg up to Sum Insured,Double Cover Accid Emergency,Included up to 2 Lakh range,24 Months,Included
13,SBI General Insurance,Platinum Infinite,Not Applicable,Yes (Suite Covered),Included (Shield Benefit),Available (Standard Multiplier),Bonus 50% max 200%,Unlimited usage exhaustion reload,Covered (50L up to 2 Cr),60 Days,180 Days,Suite Category covered,No capping ICU charges,All procedures (all types hosp),Bonus 50% yearly max 200%,Reload 100% trigger usages,24 Months,Included (Domiciliary logic),Covered up to Sum Insured,Actual costs Road/Air hosp,Included up to Sum Insured,Annual Adults test logic,Domestic Air hosp logic (10L),Major illness global opinion,Shield Protector Inbuilt,Robotic surgery included,multiplier logic up to 3x,Included up to 2 Lakh range,24 Months,Included
14,Aditya Birla,Activ Health Platinum (Enhanced),Available (Add-on),Yes (for Sum Insured 4L+),Available (Rider),Available (Add-on),50% p.a. (Max 100%),Unlimited (Trigger by Usage),Covered up to Sum Insured,60 Days,180 Days,Any category room (>4L SI),Covered (Actuals),Included Day Care procedures,50% increase max 100%,Unlimited Reload Logic trigger,36 Months (Day 1 for Chronic),Included cert. medical advice,Included up to Sum Insured,Actual trip cost Network road,Included donor expense logic,Annual Checkup range logic,Available rider domestic,expert coach Guidance inbuilt,Available protector Rider,Modern Technology Included SI,HealthReturns points rewards,Covered logic recovery logic,24 Months,Unlimited
14,Aditya Birla,Essential Plan,Not Applicable,No (Capped),Not Inbuilt,Available (Add-on points),10% increase yearly logic,Usage trigger Restore logic,Covered up to Sum Insured,30 Days,60 Days,Standard Rent capped (grid),No Capping logic Actual ICU,Included Procedures logic grid,10% Yearly Accumulation max,Restore trig Usage exhaust,Day 1 Chronic cover wait,No coverage,AYUSH within SI grid,Actual road expenses Network,No coverage Road Accid.,Annual Health Assessment,Not Covered road,Guidance coaches inbuilt,Available as Option Protector,Modern Med logic grid SI,HealthReturns logic premium,Not Covered logic recovery,24 Months,Included
14,Aditya Birla,Premier Plan,Available (Add-on),Yes (Any room),Included,Available (Inflation logic),50% increase p.a. max 100%,Unlimited super reload trig,Covered up to SI limit,60 Days,180 Days,Any Room category covered,Covered Actual ICU charges,All day care grid procedures,Bonus yearly (max 100% SI),Unlimited super Reload triggers,36 Months (PED wait),Included within cert logic SI,AYUSH limit up to SI limit,Actual trip expenses Road (Netw),3 Lakh Donor hospital logic,Annual Checkup logic SI range,Worldwide coverage Available,Global medical advisor coach,Inbuilt Expert global advice,Modern Technology grid SI,100% HealthReturns Points,Included logic International,24 Months,Unlimited
14,Aditya Birla,Activ Health Plus (Enhanced),Available (Add-on),No (Single Room),Available (Add-on Option),Available (Active Dayz logic),50% p.a. (max 100%),100% Reload (usage triggered),Covered up to Sum Insured,60 Days,180 Days,Standard Single Room category,No Limit Actual charges ICU,All Procedures logic (586),50% Accumulation yearly logic,100% usage reload trigger,36 Months,Covered up to SI limit logic,Included AYUSH up to SI limit,5000 maximum road trips,Included up to Sum Insured,Annual check-up from day 1,Available up to 5 Lakh logical,Expert global opinions Coaches,Inbuilt Shield Protector add-on,Included Modern Technology SI,Wellness Program 100% Rewards,Recovery limit logic 10k,24 Months,Included
14,Aditya Birla,Essential Plus,Not Applicable,No (Sublimit caps grid),Not Inbuilt,Available (Standard Rider),10% per claim free yr,Automatic Restore Trigger,Covered up to Sum Insured,30 Days,60 Days,Rent capped logic (grid),Actual ICU covered logic,Included Procedures (all grid),10% Bonus per renewal,usage trigger Restore 100%,Day 1 chronic conditions logic,No road coverage,No AYUSH limit,Actual network Road expenses,No road coverage Accid.,Annual once every renewal,Not Available globally,Coach help logic expert,Not Available logic,Included modern grid procedures,Rewards logic premium bonus,No logic Recovery Benefit,24 Months,Included
14,Aditya Birla,Premier Plus,Available (Add-on),Yes (Any room category),Included (Protect Shield),Available (Standard Shield),100% increase (Bonus logic),Unlimited super Reload logic,Covered logic 50L up to 3 Cr,60 Days,180 Days,Any Room category No Capping,No Capping (Actual Charges),All day care grid procedures,Included bonus max 100% SI,Usage Trigger unlimited reload,36 Months (PED logic),Included with cert condition,Covered up to SI (AYUSH),Actual costs Network road hosp,Included Donor expense limit,Annual health assess SI range,globally covered domestic hosp,Domestic medical Expert opinion,Inbuilt Protect Logic logic,Included Modern procedure SI,Wellness rewards (points logic),Included International limit SI,24 Months,Unlimited
